heldout_seed,regression_budget,source_rows,test_rows,selected_model,selected_rule,selector_recoveries,selector_regressions,baseline_acc,gated_acc,gated_delta,accepts,recoveries,regressions
60601,0,183,91,qwen14b,B,55,0,0.14285714285714285,0.6043956043956044,0.46153846153846156,53,43,1
60601,1,183,91,qwen14b,B,55,0,0.14285714285714285,0.6043956043956044,0.46153846153846156,53,43,1
60601,2,183,91,qwen14b,B,55,0,0.14285714285714285,0.6043956043956044,0.46153846153846156,53,43,1
60601,5,183,91,qwen14b,B,55,0,0.14285714285714285,0.6043956043956044,0.46153846153846156,53,43,1
60602,0,223,52,gemma4,B,64,0,0.17307692307692307,0.5769230769230769,0.40384615384615385,21,21,0
60602,1,223,52,gemma4,B,64,0,0.17307692307692307,0.5769230769230769,0.40384615384615385,21,21,0
60602,2,223,52,qwen14b,B,75,2,0.17307692307692307,0.5192307692307693,0.34615384615384615,24,18,0
60602,5,223,52,qwen14b,B,75,2,0.17307692307692307,0.5192307692307693,0.34615384615384615,24,18,0
60603,0,46,234,gemma4,B,18,0,0.13247863247863248,0.3717948717948718,0.23931623931623933,77,56,0
60603,1,46,234,gemma4,B,18,0,0.13247863247863248,0.3717948717948718,0.23931623931623933,77,56,0
60603,2,46,234,gemma4,B,18,0,0.13247863247863248,0.3717948717948718,0.23931623931623933,77,56,0
60603,5,46,234,gemma4,B,18,0,0.13247863247863248,0.3717948717948718,0.23931623931623933,77,56,0
