category,rows,choice_accuracy,pred_A,pred_B,pred_BOTH,pred_NEITHER,pred_INVALID
both_correct,33,0.7272727272727273,2,3,24,4,0
neither_correct,132,0.3712121212121212,19,62,2,49,0
recovery,192,0.7135416666666666,30,137,0,25,0
regression,20,0.3,6,2,1,11,0
