heldout_seed,guard_regression_budget,selected_model,selected_rule,allowed_policies,source_rows,source_accepts,source_recoveries,source_regressions,trials,baseline_acc,raw_router_acc,raw_router_delta,guarded_acc,guarded_delta,delta_vs_raw_router,raw_accepts,raw_recoveries,raw_regressions,guarded_accepts,guarded_recoveries,guarded_regressions,recovery_retention,regression_retention
60601,0,mathstral,B,target_intersection_top20,158,17,3,0,592,0.23986486486486486,0.38344594594594594,0.14358108108108109,0.26013513513513514,0.02027027027027027,-0.12331081081081081,155,90,5,13,12,0,0.13333333333333333,0.0
60601,1,mathstral,B_or_BOTH,target_intersection_top20+union_rank_top3,158,59,30,1,592,0.23986486486486486,0.38344594594594594,0.14358108108108109,0.3125,0.07263513513513513,-0.07094594594594594,155,90,5,67,43,0,0.4777777777777778,0.0
60601,2,qwen14b,B,target_intersection_top20+union_rank_top3,158,88,54,2,592,0.23986486486486486,0.38344594594594594,0.14358108108108109,0.34121621621621623,0.10135135135135136,-0.04222972972972973,155,90,5,92,61,1,0.6777777777777778,0.2
60601,5,qwen14b,B,target_intersection_top20+union_rank_top3,158,88,54,2,592,0.23986486486486486,0.38344594594594594,0.14358108108108109,0.34121621621621623,0.10135135135135136,-0.04222972972972973,155,90,5,92,61,1,0.6777777777777778,0.2
60602,0,gemma4,B,target_intersection_top10+target_intersection_top20+union_rank_top3,204,75,49,0,592,0.22635135135135134,0.30236486486486486,0.07601351351351351,0.27364864864864863,0.0472972972972973,-0.028716216216216218,97,50,5,29,28,0,0.56,0.0
60602,1,gemma4,B,target_intersection_top10+target_intersection_top20+union_rank_top3,204,75,49,0,592,0.22635135135135134,0.30236486486486486,0.07601351351351351,0.27364864864864863,0.0472972972972973,-0.028716216216216218,97,50,5,29,28,0,0.56,0.0
60602,2,qwen14b,B,target_intersection_top10+target_intersection_top20+union_rank_top3,204,106,53,2,592,0.22635135135135134,0.30236486486486486,0.07601351351351351,0.2905405405405405,0.06418918918918919,-0.011824324324324325,97,50,5,53,39,1,0.78,0.2
60602,5,qwen14b,B,target_intersection_top10+target_intersection_top20+union_rank_top3,204,106,53,2,592,0.22635135135135134,0.30236486486486486,0.07601351351351351,0.2905405405405405,0.06418918918918919,-0.011824324324324325,97,50,5,53,39,1,0.78,0.2
60603,0,qwen14b,B,target_intersection_top10+target_intersection_top20+union_rank_top3,93,57,35,0,592,0.24493243243243243,0.38006756756756754,0.13513513513513514,0.3716216216216216,0.1266891891891892,-0.008445945945945946,267,100,20,137,77,2,0.77,0.1
60603,1,qwen14b,B,target_intersection_top10+target_intersection_top20+union_rank_top3,93,57,35,0,592,0.24493243243243243,0.38006756756756754,0.13513513513513514,0.3716216216216216,0.1266891891891892,-0.008445945945945946,267,100,20,137,77,2,0.77,0.1
60603,2,qwen14b,B,target_intersection_top10+target_intersection_top20+union_rank_top3,93,57,35,0,592,0.24493243243243243,0.38006756756756754,0.13513513513513514,0.3716216216216216,0.1266891891891892,-0.008445945945945946,267,100,20,137,77,2,0.77,0.1
60603,5,qwen14b,B,target_intersection_top10+target_intersection_top20+union_rank_top3,93,57,35,0,592,0.24493243243243243,0.38006756756756754,0.13513513513513514,0.3716216216216216,0.1266891891891892,-0.008445945945945946,267,100,20,137,77,2,0.77,0.1
