category,rows,choice_accuracy,pred_A,pred_B,pred_BOTH,pred_NEITHER,pred_INVALID
neither_correct,10,1.0,0,0,0,10,0
recovery,4,0.0,0,0,0,4,0
regression,10,0.0,0,2,2,6,0
