category,rows,choice_accuracy,pred_A,pred_B,pred_BOTH,pred_NEITHER,pred_INVALID
both_correct,36,0.6666666666666666,2,5,24,5,0
neither_correct,213,0.38497652582159625,30,99,2,82,0
recovery,240,0.75,32,180,0,28,0
regression,30,0.43333333333333335,13,4,1,12,0
