threshold,rows,choice_accuracy,baseline_acc,gated_acc,gated_delta,accepts,recoveries,regressions
0.0,77,0.38961038961038963,0.4805194805194805,0.5974025974025974,0.11688311688311688,25,9,0
0.5,77,0.38961038961038963,0.4805194805194805,0.5974025974025974,0.11688311688311688,25,9,0
0.7,77,0.38961038961038963,0.4805194805194805,0.5974025974025974,0.11688311688311688,25,9,0
0.9,77,0.38961038961038963,0.4805194805194805,0.5974025974025974,0.11688311688311688,25,9,0
