category,rows,choice_accuracy,pred_A,pred_B,pred_BOTH,pred_NEITHER,pred_INVALID
both_correct,17,0.47058823529411764,1,6,8,0,2
neither_correct,20,0.3,0,4,0,6,10
recovery,20,0.5,2,10,0,2,6
regression,20,0.75,15,0,0,3,2
