guard_regression_budget,folds,trials,baseline_acc,raw_router_delta,raw_router_delta_ci95,guarded_delta,guarded_delta_ci95,raw_recoveries,raw_regressions,guarded_accepts,guarded_recoveries,guarded_regressions,recovery_retention,regression_retention,selected,policy_rec_reg
0,3,1776,0.23704954954954954,0.11824324324324324,"[+0.079, +0.161]",0.06475225225225226,"[+0.039, +0.095]",240,30,179,117,2,0.4875,0.06666666666666667,60601:mathstral/B/target_intersection_top20; 60602:gemma4/B/target_intersection_top10+target_intersection_top20+union_rank_top3; 60603:qwen14b/B/target_intersection_top10+target_intersection_top20+union_rank_top3,target_intersection_top10:5/0; target_intersection_top20:27/0; union_rank_top3:85/2
1,3,1776,0.23704954954954954,0.11824324324324324,"[+0.080, +0.159]",0.08220720720720721,"[+0.053, +0.113]",240,30,233,148,2,0.6166666666666667,0.06666666666666667,60601:mathstral/B_or_BOTH/target_intersection_top20+union_rank_top3; 60602:gemma4/B/target_intersection_top10+target_intersection_top20+union_rank_top3; 60603:qwen14b/B/target_intersection_top10+target_intersection_top20+union_rank_top3,target_intersection_top10:5/0; target_intersection_top20:27/0; union_rank_top3:116/2
2,3,1776,0.23704954954954954,0.11824324324324324,"[+0.079, +0.159]",0.09740990990990991,"[+0.067, +0.130]",240,30,282,177,4,0.7375,0.13333333333333333,60601:qwen14b/B/target_intersection_top20+union_rank_top3; 60602:qwen14b/B/target_intersection_top10+target_intersection_top20+union_rank_top3; 60603:qwen14b/B/target_intersection_top10+target_intersection_top20+union_rank_top3,target_intersection_top10:5/0; target_intersection_top20:31/0; union_rank_top3:141/4
5,3,1776,0.23704954954954954,0.11824324324324324,"[+0.078, +0.160]",0.09740990990990991,"[+0.066, +0.131]",240,30,282,177,4,0.7375,0.13333333333333333,60601:qwen14b/B/target_intersection_top20+union_rank_top3; 60602:qwen14b/B/target_intersection_top10+target_intersection_top20+union_rank_top3; 60603:qwen14b/B/target_intersection_top10+target_intersection_top20+union_rank_top3,target_intersection_top10:5/0; target_intersection_top20:31/0; union_rank_top3:141/4
