regression_budget,folds,trials,baseline_acc,raw_router_acc,raw_router_delta,raw_router_delta_ci95,pairwise_gated_acc,pairwise_gated_delta,pairwise_gated_delta_ci95,delta_vs_raw_router,raw_accepts,raw_recoveries,raw_regressions,pairwise_accepts,pairwise_recoveries,pairwise_regressions,recovery_retention,regression_retention,selected
0,3,1776,0.23704954954954954,0.3338963963963964,0.09684684684684684,"[+0.061, +0.134]",0.30405405405405406,0.0670045045045045,"[+0.040, +0.096]",-0.029842342342342343,377,192,20,151,120,1,0.625,0.05,60601:qwen14b/B; 60602:gemma4/B; 60603:gemma4/B
1,3,1776,0.23704954954954954,0.3338963963963964,0.09684684684684684,"[+0.062, +0.136]",0.30405405405405406,0.0670045045045045,"[+0.041, +0.097]",-0.029842342342342343,377,192,20,151,120,1,0.625,0.05,60601:qwen14b/B; 60602:gemma4/B; 60603:gemma4/B
2,3,1776,0.23704954954954954,0.3338963963963964,0.09684684684684684,"[+0.061, +0.135]",0.30236486486486486,0.06531531531531531,"[+0.039, +0.094]",-0.03153153153153153,377,192,20,154,117,1,0.609375,0.05,60601:qwen14b/B; 60602:qwen14b/B; 60603:gemma4/B
5,3,1776,0.23704954954954954,0.3338963963963964,0.09684684684684684,"[+0.061, +0.133]",0.30236486486486486,0.06531531531531531,"[+0.039, +0.094]",-0.03153153153153153,377,192,20,154,117,1,0.609375,0.05,60601:qwen14b/B; 60602:qwen14b/B; 60603:gemma4/B
